Nodes: ,10,
Edges: ,28,
Messages, Hops, Time,
5, 12, 2.0169e+16, 
10, 40, 3.19342e+16, 
15, 32, 3.52957e+16, 
20, 38, 4.7061e+16, 
25, 49, 5.21032e+16, 
30, 56, 5.88262e+16, 
35, 68, 7.22722e+16, 
40, 63, 8.06759e+16, 
45, 75, 8.90797e+16, 
50, 73, 9.58027e+16, 
55, 83, 1.04206e+17, 
60, 104, 1.1261e+17, 
65, 112, 1.22695e+17, 
70, 108, 1.31098e+17, 
75, 115, 1.3446e+17, 
80, 129, 1.47906e+17, 
85, 157, 1.52948e+17, 
90, 134, 1.66394e+17, 
95, 147, 1.69756e+17, 
100, 170, 1.81521e+17, 
