Nodes: ,12,
Edges: ,34,
Messages, Hops, Time,
5, 131, 2.52112e+16, 
10, 73, 3.02535e+16, 
15, 101, 3.3615e+16, 
20, 261, 4.53802e+16, 
25, 144, 5.71455e+16, 
30, 98, 6.21877e+16, 
35, 162, 7.22722e+16, 
40, 148, 7.73144e+16, 
45, 353, 9.24412e+16, 
50, 228, 9.58027e+16, 
55, 196, 1.07568e+17, 
60, 385, 1.1261e+17, 
65, 437, 1.26056e+17, 
70, 375, 1.29418e+17, 
75, 311, 1.44544e+17, 
80, 393, 1.47906e+17, 
85, 438, 1.5631e+17, 
90, 546, 1.59671e+17, 
95, 376, 1.66394e+17, 
100, 491, 1.81521e+17, 
