Nodes: ,22,
Edges: ,43,
Messages, Hops, Time,
5, 408, 4.0338e+16, 
10, 996, 4.87417e+16, 
15, 718, 5.54647e+16, 
20, 881, 6.55493e+16, 
25, 879, 6.89108e+16, 
30, 943, 7.05915e+16, 
35, 1437, 8.23567e+16, 
40, 1139, 9.07605e+16, 
45, 1013, 9.07605e+16, 
50, 1545, 1.05887e+17, 
55, 1069, 1.05887e+17, 
60, 2009, 1.19333e+17, 
65, 2056, 1.22695e+17, 
70, 2121, 1.36141e+17, 
75, 2080, 1.42864e+17, 
80, 1802, 1.51268e+17, 
85, 2162, 1.61352e+17, 
90, 2241, 1.71436e+17, 
95, 2332, 1.76479e+17, 
100, 3374, 1.93286e+17, 
105, 3108, 1.94967e+17, 
110, 2590, 2.05052e+17, 
115, 3274, 2.13455e+17, 
120, 3057, 2.18498e+17, 
125, 3709, 2.28582e+17, 
130, 3222, 2.36986e+17, 
135, 3375, 2.42028e+17, 
140, 3113, 2.55474e+17, 
145, 3943, 2.55474e+17, 
150, 3780, 2.67239e+17, 
