Nodes: ,46,
Edges: ,207,
Messages, Hops, Time,
5, 782, 8.57214e+16, 
10, 1178, 9.24447e+16, 
15, 866, 1.00849e+17, 
20, 847, 1.09253e+17, 
25, 866, 1.07572e+17, 
30, 994, 1.10934e+17, 
35, 929, 1.21018e+17, 
40, 1167, 1.27742e+17, 
45, 1465, 1.37827e+17, 
50, 1484, 1.39507e+17, 
55, 1806, 1.42869e+17, 
60, 1302, 1.59677e+17, 
65, 1287, 1.51273e+17, 
70, 1556, 1.6472e+17, 
75, 1921, 1.79847e+17, 
80, 1684, 1.8657e+17, 
85, 1483, 1.88251e+17, 
90, 2023, 1.94974e+17, 
95, 2007, 2.03378e+17, 
100, 1859, 2.13463e+17, 
105, 2608, 2.2691e+17, 
110, 2897, 2.35314e+17, 
115, 2512, 2.45399e+17, 
120, 2314, 2.50441e+17, 
125, 2373, 2.52122e+17, 
130, 2466, 2.57164e+17, 
135, 2712, 2.72292e+17, 
140, 2291, 2.80696e+17, 
145, 2661, 2.80696e+17, 
150, 3024, 2.95823e+17, 
