Nodes: ,37,
Edges: ,153,
Messages, Hops, Time,
5, 647, 6.89109e+16, 
10, 523, 7.39531e+16, 
15, 827, 8.06761e+16, 
20, 624, 8.90799e+16, 
25, 1082, 9.41222e+16, 
30, 1010, 1.00845e+17, 
35, 843, 1.00845e+17, 
40, 1095, 1.1093e+17, 
45, 1046, 1.1093e+17, 
50, 1177, 1.21014e+17, 
55, 1118, 1.26056e+17, 
60, 2292, 1.41183e+17, 
65, 1423, 1.42864e+17, 
70, 1233, 1.54629e+17, 
75, 2274, 1.76479e+17, 
80, 1911, 1.68075e+17, 
85, 1957, 1.91606e+17, 
90, 1742, 1.91606e+17, 
95, 2063, 1.98329e+17, 
100, 1678, 2.10094e+17, 
105, 2125, 2.15136e+17, 
110, 2641, 2.20179e+17, 
115, 3009, 2.18498e+17, 
120, 2075, 2.38667e+17, 
125, 2151, 2.43709e+17, 
130, 3341, 2.55474e+17, 
135, 2854, 2.6724e+17, 
140, 4037, 2.73963e+17, 
145, 2822, 2.79005e+17, 
150, 2524, 2.85728e+17, 
