Nodes: ,36,
Edges: ,81,
Messages, Hops, Time,
5, 866, 6.55493e+16, 
10, 1271, 7.73146e+16, 
15, 1702, 8.06761e+16, 
20, 1200, 8.40376e+16, 
25, 1530, 9.41221e+16, 
30, 2084, 1.00845e+17, 
35, 2012, 1.04207e+17, 
40, 1364, 1.07568e+17, 
45, 2187, 1.19333e+17, 
50, 2480, 1.21014e+17, 
55, 2432, 1.29418e+17, 
60, 3735, 1.44545e+17, 
65, 2683, 1.52948e+17, 
70, 3803, 1.52948e+17, 
75, 3531, 1.52948e+17, 
80, 3372, 1.71437e+17, 
85, 3021, 1.71437e+17, 
90, 3883, 1.88244e+17, 
95, 5330, 1.91606e+17, 
100, 3372, 1.98329e+17, 
105, 4859, 2.05052e+17, 
110, 4165, 2.21859e+17, 
115, 3883, 2.30263e+17, 
120, 5994, 2.31944e+17, 
125, 4200, 2.36986e+17, 
130, 3780, 2.47071e+17, 
135, 5175, 2.55474e+17, 
140, 5781, 2.65559e+17, 
145, 5116, 2.70601e+17, 
150, 5571, 2.9077e+17, 
