Nodes: ,47,
Edges: ,154,
Messages, Hops, Time,
5, 2229, 8.57214e+16, 
10, 3619, 9.58063e+16, 
15, 2734, 1.0253e+17, 
20, 2545, 1.07572e+17, 
25, 2120, 1.12614e+17, 
30, 3472, 1.2438e+17, 
35, 2709, 1.2438e+17, 
40, 3347, 1.34465e+17, 
45, 3703, 1.36146e+17, 
50, 3808, 1.47912e+17, 
55, 3330, 1.49592e+17, 
60, 3828, 1.49592e+17, 
65, 6446, 1.56316e+17, 
70, 4292, 1.6472e+17, 
75, 2816, 1.74805e+17, 
80, 3283, 1.83209e+17, 
85, 5160, 1.91613e+17, 
90, 3412, 2.00017e+17, 
95, 5709, 1.96655e+17, 
100, 5638, 2.11782e+17, 
105, 5724, 2.28591e+17, 
110, 5151, 2.35314e+17, 
115, 7801, 2.36995e+17, 
120, 7128, 2.38675e+17, 
125, 6323, 2.57164e+17, 
130, 6198, 2.62207e+17, 
135, 6672, 2.65568e+17, 
140, 5269, 2.85738e+17, 
145, 8807, 2.94142e+17, 
150, 5842, 2.94142e+17, 
