Nodes: ,21,
Edges: ,64,
Messages, Hops, Time,
5, 227, 4.36995e+16, 
10, 244, 4.87417e+16, 
15, 143, 5.88262e+16, 
20, 112, 5.71455e+16, 
25, 311, 6.55492e+16, 
30, 543, 7.22722e+16, 
35, 309, 8.23567e+16, 
40, 583, 8.57182e+16, 
45, 411, 9.58027e+16, 
50, 462, 1.00845e+17, 
55, 566, 1.17652e+17, 
60, 584, 1.19333e+17, 
65, 603, 1.3446e+17, 
70, 919, 1.39502e+17, 
75, 568, 1.51267e+17, 
80, 728, 1.52948e+17, 
85, 744, 1.5799e+17, 
90, 585, 1.73117e+17, 
95, 656, 1.84882e+17, 
100, 1021, 1.88244e+17, 
105, 652, 1.94967e+17, 
110, 819, 2.00009e+17, 
115, 856, 2.10094e+17, 
120, 818, 2.18497e+17, 
125, 1222, 2.28582e+17, 
130, 1153, 2.42028e+17, 
135, 917, 2.48751e+17, 
140, 1061, 2.57155e+17, 
145, 1257, 2.57155e+17, 
150, 1398, 2.65558e+17, 
