Nodes: ,20,
Edges: ,36,
Messages, Hops, Time,
5, 816, 3.52957e+16, 
10, 612, 4.36995e+16, 
15, 731, 5.04225e+16, 
20, 1185, 5.54647e+16, 
25, 1342, 6.21877e+16, 
30, 1284, 7.3953e+16, 
35, 1860, 8.23567e+16, 
40, 1376, 8.57182e+16, 
45, 1431, 9.58027e+16, 
50, 2275, 9.91642e+16, 
55, 1574, 1.05887e+17, 
60, 2031, 1.27737e+17, 
65, 2133, 1.24375e+17, 
70, 2347, 1.37821e+17, 
75, 2989, 1.39502e+17, 
80, 2297, 1.5631e+17, 
85, 3477, 1.63033e+17, 
90, 2684, 1.71436e+17, 
95, 2536, 1.81521e+17, 
100, 3395, 1.84882e+17, 
105, 2379, 1.91605e+17, 
110, 4030, 2.05051e+17, 
115, 3507, 2.13455e+17, 
120, 3457, 2.20178e+17, 
125, 3862, 2.35305e+17, 
130, 3295, 2.33624e+17, 
135, 3937, 2.45389e+17, 
140, 4793, 2.45389e+17, 
145, 5272, 2.60516e+17, 
150, 4515, 2.6892e+17, 
