Nodes: ,19,
Edges: ,59,
Messages, Hops, Time,
5, 86, 3.52959e+16, 
10, 153, 4.20189e+16, 
15, 284, 5.37842e+16, 
20, 274, 5.88264e+16, 
25, 146, 6.55494e+16, 
30, 261, 7.05917e+16, 
35, 314, 7.89955e+16, 
40, 248, 8.40378e+16, 
45, 310, 9.07608e+16, 
50, 313, 1.04207e+17, 
55, 475, 1.1093e+17, 
60, 561, 1.27737e+17, 
65, 527, 1.3278e+17, 
70, 610, 1.29418e+17, 
75, 539, 1.44545e+17, 
80, 644, 1.54629e+17, 
85, 694, 1.59672e+17, 
90, 595, 1.69756e+17, 
95, 454, 1.76479e+17, 
100, 817, 1.91606e+17, 
105, 793, 1.93287e+17, 
110, 865, 2.06733e+17, 
115, 730, 2.10094e+17, 
120, 858, 2.2186e+17, 
125, 883, 2.28583e+17, 
130, 916, 2.42029e+17, 
135, 894, 2.38667e+17, 
140, 872, 2.50433e+17, 
145, 1310, 2.60517e+17, 
150, 1158, 2.75644e+17, 
